regulation_code,regulation_name,normalized_name,public_status_code,public_status_label,lifecycle_code,document_verification_code,nonpublic_stage,primary_claim,confidence_level,decision_reason_code,decision_reason,official_source_count,search_verification_count,human_confirmed,last_collected_at,last_verified_at,official_url,document_sha256,document_format,revision_date,legacy_0811_status,legacy_0831_status,methodology_version,release_status
56954644118be362,3 Up-Down System 운용기준,3updownsystem운용기준,EXTRACTION_PENDING,판정대기,current,EXTRACTION_PENDING,1,3 Up-Down System 운용기준: 판정대기,2,EXTRACTION_PENDING,공식 원문은 발견했으나 본문 추출·확인이 완료되지 않음,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.alio.go.kr/download/rulefiledown.json?fileNo=41691,a6546489fb8aa310226ccad7fbd99be72c607a9fe6d756ed9a0e67cfbdc6f7bd,hwp,2017.04.27,,,v0.4,review_pending
8eb8a31573b00d5a,AI 첨단산업 특별보증 운용기준,ai첨단산업특별보증운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,AI 첨단산업 특별보증 운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=70922726af2bb4c5ef364467f0e4e49b,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
8667150ce2fab317,B2B Plus보험 운용기준,b2bplus보험운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,B2B Plus보험 운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=3a9baf3c2ee7b5fd0f87aaf688abc99a,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
8667150ce2fab317,B2BPlus+보험운용기준,b2bplus보험운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,B2BPlus+보험운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=8c2fb6fc391d6613f967f3067e4475aa,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
417128c78f4c59aa,Biz-Pay 보증 운용기준,bizpay보증운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,Biz-Pay 보증 운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=3abc73d3a0031dc37d3ab3efb5ac08f3,,unknown,,명칭변경·통합·폐지 확인,명칭변경·통합·폐지 확인,v0.4,review_pending
6752b7cc0b07582d,Blue-Elite창업보증프로그램업무처리방법,blueelite창업보증프로그램업무처리방법,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,Blue-Elite창업보증프로그램업무처리방법: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=c6a0fe2c3c4d26b2de077bd0c813e4b8,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
b04361661d13c19d,BTL 특별 인프라펀드 업무처리기준,btl특별인프라펀드업무처리기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,BTL 특별 인프라펀드 업무처리기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=30c6eba820cc9e6f3460f6a4125e6000,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
3b5eb716398d42af,Campus Start-up 보증 업무처리방법,campusstartup보증업무처리방법,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,Campus Start-up 보증 업무처리방법: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=376984eeca2adbac0983fc7b2f457974,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
a8d1e9bfe02699b8,Campus Start-up 보증 업무처리방법 외 1개 규정,campusstartup보증업무처리방법외1개규정,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,Campus Start-up 보증 업무처리방법 외 1개 규정: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=376984eeca2adbac0983fc7b2f457974,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
08fe24f84b976e92,Campus Start-up 보증 운용기준,campusstartup보증운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,Campus Start-up 보증 운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=4b491fa30ea2fc44444a6687ade834fa,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
7311f65785ab2667,CI운용요령,ci운용요령,EXTRACTION_PENDING,판정대기,current,EXTRACTION_PENDING,1,CI운용요령: 판정대기,2,EXTRACTION_PENDING,공식 원문은 발견했으나 본문 추출·확인이 완료되지 않음,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.alio.go.kr/download/rulefiledown.json?fileNo=12039,e82e78c41f9b4325290327dc36365d346e0e1368201920aaa7756788d8371d6e,hwp,2011.07.29,,,v0.4,review_pending
eae1ca94978992e3,Easy-One 보증 운용기준,easyone보증운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,Easy-One 보증 운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=be01865dd1422c5bdd2751c8530e7d1d,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
b7f79300dcd97c89,Easy-Start 보증 운용기준,easystart보증운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,Easy-Start 보증 운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=cd99c1387902702642006e17b4aa2bbd,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
5d741b46e26c56b7,ESG경영 역량에 따른 보증 운용기준,esg경영역량에따른보증운용기준,EXTRACTION_PENDING,판정대기,current,EXTRACTION_PENDING,1,ESG경영 역량에 따른 보증 운용기준: 판정대기,2,EXTRACTION_PENDING,공식 원문은 발견했으나 본문 추출·확인이 완료되지 않음,2,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.alio.go.kr/download/rulefiledown.json?fileNo=239112,90d1e5e251922894a74c4d56904353a05c7987c015178e9ef1fe5f2c8faeb871,hwp,2026.07.16,공개 확인,공개 확인,v0.4,review_pending
310cd7299ff588b5,ESG경영 역량 우수기업에 대한 매출채권보험 운용기준,esg경영역량우수기업에대한매출채권보험운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,ESG경영 역량 우수기업에 대한 매출채권보험 운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=9e2e3d89c0cb32fd0f390067974b4b2b,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
3803f7f4c4053784,ESG경영 추진 업무처리기준,esg경영추진업무처리기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,ESG경영 추진 업무처리기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=b7493c8612bb0a33bbe9ad635f7bc1e0,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
a72aafae68284ab5,ESG 기업에 대한 유동화회사보증 운용기준,esg기업에대한유동화회사보증운용기준,EXTRACTION_PENDING,판정대기,current,EXTRACTION_PENDING,1,ESG 기업에 대한 유동화회사보증 운용기준: 판정대기,2,EXTRACTION_PENDING,공식 원문은 발견했으나 본문 추출·확인이 완료되지 않음,2,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.alio.go.kr/download/rulefiledown.json?fileNo=176745,449a832c209a4fef22dee6654b416bef4e104f032660532f14d29ecadde624b1,hwp,2023.08.16,공개 확인,공개 확인,v0.4,review_pending
de6f1f880e87fe75,ESG 평가시스템 운용기준,esg평가시스템운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,ESG 평가시스템 운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=b55b8e2c4133295ab120a2ff526883ba,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
44dce38aba5b0386,e-커뮤니케이션 운영기준,e커뮤니케이션운영기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,e-커뮤니케이션 운영기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=00c3c313bef3561952d2416a3d3cf2ca,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
a11b1b38dbefa9d0,e-커뮤니케이션 운용기준,e커뮤니케이션운용기준,NOTICE_ONLY,사전예고만,unknown,NOTICE_EVIDENCE_ONLY,1,e-커뮤니케이션 운용기준: 사전예고만,2,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,1,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=00c3c313bef3561952d2416a3d3cf2ca,,unknown,,사전예고만 확인,사전예고만 확인,v0.4,review_pending
cb10061cc664dfac,ICT GROWTH 협약보증 운용기준,ictgrowth협약보증운용기준,EXTRACTION_PENDING,판정대기,current,EXTRACTION_PENDING,1,ICT GROWTH 협약보증 운용기준: 판정대기,2,EXTRACTION_PENDING,공식 원문은 발견했으나 본문 추출·확인이 완료되지 않음,2,0,False,2026-09-08T19:20:38+09:00,2026-09-08T19:20:38+09:00,https://www.alio.go.kr/download/rulefiledown.json?fileNo=230466,61ce05342e6a2e117cf84e3ac04cbb87d6377a5e7d03f05f7bdd6d22f70a21c5,hwp,2026.01.26,공개 확인,공개 확인,v0.4,review_pending
