regulation_code,regulation_name,normalized_name,public_status_code,public_status_label,lifecycle_code,document_verification_code,nonpublic_stage,primary_claim,confidence_level,decision_reason_code,decision_reason,official_source_count,search_verification_count,human_confirmed,last_collected_at,last_verified_at,official_url,document_sha256,document_format,revision_date,legacy_0811_status,legacy_0831_status,methodology_version,release_status,evaluation_provenance,evaluated_at,evidence_as_of,processing_status,evidence_summary,unresolved_reason,evidence_refs_json,representations_json,previous_public_status_code,previous_public_status_label,previous_decision_reason_code,previous_decision_reason,previous_evaluation_date
56954644118be362,3 Up-Down System 운용기준,3updownsystem운용기준,FULLTEXT_PUBLIC,전문 공개,unknown,EVALUATED,0,3 Up-Down System 운용기준: 판정대기,2,VERIFIED_OFFICIAL_REPRESENTATION,공식 HWP representation에서 본문 추출과 규정 동일성이 확인되었습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.alio.go.kr/download/rulefiledown.json?fileNo=41691,a6546489fb8aa310226ccad7fbd99be72c607a9fe6d756ed9a0e67cfbdc6f7bd,hwp,2017.04.27,,,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-01T00:23:19+09:00,EVALUATED,공식 전문 확인 · HWP,,"[{""evidence_type"":""PARSER_RUNTIME_MEASUREMENT"",""batch_run_id"":""10a9d5f2-2e21-46c1-bfbe-f5871ed40bef"",""parser_run_id"":""1bf8c5b6-29a7-48a7-9461-b622a01c9baa"",""document_sha256"":""a6546489fb8aa310226ccad7fbd99be72c607a9fe6d756ed9a0e67cfbdc6f7bd"",""format"":""HWP""},{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.alio.go.kr/download/rulefiledown.json?fileNo=41691""}]","[{""format"":""HWP"",""source_path"":""alio/11844/41691.hwp"",""input_sha256"":""a6546489fb8aa310226ccad7fbd99be72c607a9fe6d756ed9a0e67cfbdc6f7bd"",""extraction_outcome"":""SUCCESS"",""parser_name"":""kodit-hwp-ole"",""parser_version"":""0.1.1"",""runtime_version"":""3.13.7"",""environment_fingerprint"":""e77e6a2dd79ef2342b80787149c451c7facbfccc6969393b5f07340e78ed6a64"",""parser_run_id"":""1bf8c5b6-29a7-48a7-9461-b622a01c9baa"",""extract_hash"":""179f0fffb77f70b44c374d82ea6ddbaed230a9d3b5a569168e9dc5627e87a106"",""identity_result"":""MATCHED"",""evidence_as_of"":""2026-09-01T00:23:19+09:00"",""verified_official_fulltext"":true}]",EXTRACTION_PENDING,판정대기,EXTRACTION_PENDING,공식 원문은 발견했으나 본문 추출·확인이 완료되지 않음,2026-09-08
8eb8a31573b00d5a,AI 첨단산업 특별보증 운용기준,ai첨단산업특별보증운용기준,NOTICE_ONLY,사전예고만,unknown,EVALUATED,0,AI 첨단산업 특별보증 운용기준: 사전예고만,2,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,공식 사전예고 근거는 연결되어 있으나 해당 규정 버전의 검증된 전문 representation은 연결되지 않았습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=70922726af2bb4c5ef364467f0e4e49b,,unknown,,사전예고만 확인,사전예고만 확인,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-08T19:20:38+09:00,EVALUATED,공식 사전예고 확인,FULLTEXT_REPRESENTATION_NOT_LINKED,"[{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=70922726af2bb4c5ef364467f0e4e49b""}]",[],NOTICE_ONLY,사전예고만,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,2026-09-08
8667150ce2fab317,B2B Plus보험 운용기준,b2bplus보험운용기준,NOTICE_ONLY,사전예고만,unknown,EVALUATED,0,B2B Plus보험 운용기준: 사전예고만,2,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,공식 사전예고 근거는 연결되어 있으나 해당 규정 버전의 검증된 전문 representation은 연결되지 않았습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=3a9baf3c2ee7b5fd0f87aaf688abc99a,,unknown,,사전예고만 확인,사전예고만 확인,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-08T19:20:38+09:00,EVALUATED,공식 사전예고 확인,FULLTEXT_REPRESENTATION_NOT_LINKED,"[{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=8c2fb6fc391d6613f967f3067e4475aa""}]",[],NOTICE_ONLY,사전예고만,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,2026-09-08
8667150ce2fab317,B2BPlus+보험운용기준,b2bplus보험운용기준,NOTICE_ONLY,사전예고만,unknown,EVALUATED,0,B2BPlus+보험운용기준: 사전예고만,2,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,공식 사전예고 근거는 연결되어 있으나 해당 규정 버전의 검증된 전문 representation은 연결되지 않았습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=8c2fb6fc391d6613f967f3067e4475aa,,unknown,,사전예고만 확인,사전예고만 확인,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-08T19:20:38+09:00,EVALUATED,공식 사전예고 확인,FULLTEXT_REPRESENTATION_NOT_LINKED,"[{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=8c2fb6fc391d6613f967f3067e4475aa""}]",[],NOTICE_ONLY,사전예고만,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,2026-09-08
417128c78f4c59aa,Biz-Pay 보증 운용기준,bizpay보증운용기준,NOTICE_ONLY,사전예고만,unknown,EVALUATED,0,Biz-Pay 보증 운용기준: 사전예고만,2,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,공식 사전예고 근거는 연결되어 있으나 해당 규정 버전의 검증된 전문 representation은 연결되지 않았습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=3abc73d3a0031dc37d3ab3efb5ac08f3,,unknown,,명칭변경·통합·폐지 확인,명칭변경·통합·폐지 확인,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-08T19:20:38+09:00,EVALUATED,공식 사전예고 확인,FULLTEXT_REPRESENTATION_NOT_LINKED,"[{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=3abc73d3a0031dc37d3ab3efb5ac08f3""}]",[],NOTICE_ONLY,사전예고만,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,2026-09-08
6752b7cc0b07582d,Blue-Elite창업보증프로그램업무처리방법,blueelite창업보증프로그램업무처리방법,NOTICE_ONLY,사전예고만,unknown,EVALUATED,0,Blue-Elite창업보증프로그램업무처리방법: 사전예고만,2,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,공식 사전예고 근거는 연결되어 있으나 해당 규정 버전의 검증된 전문 representation은 연결되지 않았습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=c6a0fe2c3c4d26b2de077bd0c813e4b8,,unknown,,사전예고만 확인,사전예고만 확인,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-08T19:20:38+09:00,EVALUATED,공식 사전예고 확인,FULLTEXT_REPRESENTATION_NOT_LINKED,"[{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=c6a0fe2c3c4d26b2de077bd0c813e4b8""}]",[],NOTICE_ONLY,사전예고만,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,2026-09-08
b04361661d13c19d,BTL 특별 인프라펀드 업무처리기준,btl특별인프라펀드업무처리기준,NOTICE_ONLY,사전예고만,unknown,EVALUATED,0,BTL 특별 인프라펀드 업무처리기준: 사전예고만,2,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,공식 사전예고 근거는 연결되어 있으나 해당 규정 버전의 검증된 전문 representation은 연결되지 않았습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=30c6eba820cc9e6f3460f6a4125e6000,,unknown,,사전예고만 확인,사전예고만 확인,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-08T19:20:38+09:00,EVALUATED,공식 사전예고 확인,FULLTEXT_REPRESENTATION_NOT_LINKED,"[{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=30c6eba820cc9e6f3460f6a4125e6000""}]",[],NOTICE_ONLY,사전예고만,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,2026-09-08
3b5eb716398d42af,Campus Start-up 보증 업무처리방법,campusstartup보증업무처리방법,NOTICE_ONLY,사전예고만,unknown,EVALUATED,0,Campus Start-up 보증 업무처리방법: 사전예고만,2,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,공식 사전예고 근거는 연결되어 있으나 해당 규정 버전의 검증된 전문 representation은 연결되지 않았습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=376984eeca2adbac0983fc7b2f457974,,unknown,,사전예고만 확인,사전예고만 확인,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-08T19:20:38+09:00,EVALUATED,공식 사전예고 확인,FULLTEXT_REPRESENTATION_NOT_LINKED,"[{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=376984eeca2adbac0983fc7b2f457974""}]",[],NOTICE_ONLY,사전예고만,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,2026-09-08
a8d1e9bfe02699b8,Campus Start-up 보증 업무처리방법 외 1개 규정,campusstartup보증업무처리방법외1개규정,NOTICE_ONLY,사전예고만,unknown,EVALUATED,0,Campus Start-up 보증 업무처리방법 외 1개 규정: 사전예고만,2,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,공식 사전예고 근거는 연결되어 있으나 해당 규정 버전의 검증된 전문 representation은 연결되지 않았습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=376984eeca2adbac0983fc7b2f457974,,unknown,,사전예고만 확인,사전예고만 확인,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-08T19:20:38+09:00,EVALUATED,공식 사전예고 확인,FULLTEXT_REPRESENTATION_NOT_LINKED,"[{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=376984eeca2adbac0983fc7b2f457974""}]",[],NOTICE_ONLY,사전예고만,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,2026-09-08
08fe24f84b976e92,Campus Start-up 보증 운용기준,campusstartup보증운용기준,NOTICE_ONLY,사전예고만,unknown,EVALUATED,0,Campus Start-up 보증 운용기준: 사전예고만,2,VERIFIED_OFFICIAL_NOTICE_WITHOUT_LINKED_FULLTEXT,공식 사전예고 근거는 연결되어 있으나 해당 규정 버전의 검증된 전문 representation은 연결되지 않았습니다.,1,0,False,2026-09-08T19:20:38+09:00,2026-09-13T21:00:00+09:00,https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=4b491fa30ea2fc44444a6687ade834fa,,unknown,,사전예고만 확인,사전예고만 확인,v0.5,review_pending,RECONSTRUCTED_EVALUATION,2026-09-13T21:00:00+09:00,2026-09-08T19:20:38+09:00,EVALUATED,공식 사전예고 확인,FULLTEXT_REPRESENTATION_NOT_LINKED,"[{""evidence_type"":""OFFICIAL_URL"",""url"":""https://www.kodit.or.kr/common/nttFileDownload.do?fileKey=4b491fa30ea2fc44444a6687ade834fa""}]",[],NOTICE_ONLY,사전예고만,OFFICIAL_NOTICE_ONLY,사전예고 공식 기록은 있으나 현행 규정 전문을 확인하지 못함,2026-09-08
